carat,cut,color,clarity,x,y,z,price,cut/wt,color/wt,clarity/wt
1.5,4,3,4,7.32,7.34,4.51,9.588,2.6666666666666665,2.0,2.6666666666666665
2.01,6,1,2,8.11,8.25,4.96,9.748,2.985074626865672,0.49751243781094534,0.9950248756218907
0.5,3,1,3,5.13,5.09,3.15,7.255,6.0,2.0,6.0
0.25,6,3,6,4.05,4.08,2.5,6.45,24.0,12.0,24.0
0.52,3,4,4,5.16,5.19,3.21,7.721,5.769230769230769,7.692307692307692,7.692307692307692
0.44,2,2,4,4.97,4.89,2.99,7.121,4.545454545454546,4.545454545454546,9.090909090909092
0.52,2,1,4,5.26,5.31,3.08,7.422,3.846153846153846,1.923076923076923,7.692307692307692
1.11,4,1,4,6.61,6.64,4.12,8.938,3.603603603603603,0.9009009009009008,3.603603603603603
0.34,6,1,4,4.48,4.51,2.82,6.545,17.64705882352941,2.941176470588235,11.76470588235294
0.29,6,1,5,4.23,4.29,2.63,6.223,20.689655172413794,3.4482758620689657,17.24137931034483
0.3,4,3,5,4.3,4.22,2.6,6.564,13.333333333333334,10.0,16.666666666666668
1.21,4,3,5,6.77,6.7,4.21,9.091,3.3057851239669422,2.479338842975207,4.132231404958678
1.04,3,3,2,6.45,6.48,4.05,8.422,2.8846153846153846,2.8846153846153846,1.923076923076923
1.2,4,7,3,6.84,6.81,4.2,8.446,3.3333333333333335,5.833333333333334,2.5
0.39,4,4,4,4.73,4.68,2.88,6.917,10.256410256410255,10.256410256410255,10.256410256410255
1.5,4,6,5,7.39,7.35,4.48,9.186,2.6666666666666665,4.0,3.3333333333333335
0.32,4,6,3,4.37,4.34,2.73,6.317,12.5,18.75,9.375
0.53,2,2,4,5.31,5.38,3.12,7.393,3.773584905660377,3.773584905660377,7.547169811320754
0.51,6,1,5,5.07,5.1,3.2,7.586,11.76470588235294,1.9607843137254901,9.803921568627452
1.07,4,4,2,6.54,6.5,4.04,8.417,3.7383177570093458,3.7383177570093458,1.8691588785046729
0.72,4,2,3,5.79,5.71,3.53,7.973,5.555555555555555,2.7777777777777777,4.166666666666667
0.8,4,2,3,5.96,5.93,3.67,8.105,5.0,2.5,3.75
0.23,6,1,6,3.99,4.05,2.42,6.142,26.08695652173913,4.3478260869565215,26.08695652173913
0.73,3,2,4,5.76,5.8,3.56,8.327,4.109589041095891,2.73972602739726,5.47945205479452
1.76,4,2,2,7.9,7.86,4.7,9.537,2.272727272727273,1.1363636363636365,1.1363636363636365
1.01,6,4,5,6.34,6.37,3.99,8.725,5.9405940594059405,3.9603960396039604,4.9504950495049505
1.01,1,4,4,6.2,6.15,4.02,8.691,0.9900990099009901,3.9603960396039604,3.9603960396039604
1.04,4,6,3,6.51,6.47,4.01,8.382,3.846153846153846,5.769230769230769,2.8846153846153846
0.51,4,2,6,5.13,5.06,3.18,7.778,7.8431372549019605,3.9215686274509802,11.76470588235294
0.31,2,1,3,4.31,4.35,2.74,6.299,6.451612903225807,3.2258064516129035,9.67741935483871
0.66,6,1,7,5.6,5.66,3.48,8.104,9.09090909090909,1.5151515151515151,10.606060606060606
0.53,3,5,5,5.26,5.21,3.2,7.382,5.660377358490566,9.433962264150942,9.433962264150942
1.12,6,1,3,6.74,6.8,3.98,8.603,5.357142857142857,0.8928571428571428,2.6785714285714284
0.92,4,1,3,6.19,6.25,3.81,8.385,4.3478260869565215,1.0869565217391304,3.260869565217391
0.3,3,3,3,4.3,4.32,2.67,6.163,10.0,10.0,10.0
0.3,3,1,4,4.33,4.29,2.7,6.738,10.0,3.3333333333333335,13.333333333333334
1.03,6,1,4,6.46,6.53,3.98,8.666,5.825242718446602,0.970873786407767,3.883495145631068
2.01,4,7,3,8.15,8.1,4.93,9.41,1.9900497512437814,3.4825870646766175,1.492537313432836
1.3,4,5,3,6.95,6.88,4.35,8.643,3.0769230769230766,3.846153846153846,2.3076923076923075
0.51,3,3,6,5.12,5.17,3.2,7.642,5.88235294117647,5.88235294117647,11.76470588235294
1.15,3,5,5,6.68,6.64,4.17,8.871,2.608695652173913,4.347826086956522,4.347826086956522
0.31,3,1,4,4.33,4.36,2.71,6.465,9.67741935483871,3.2258064516129035,12.903225806451614
0.7,1,4,3,5.57,5.5,3.6,7.592,1.4285714285714286,5.714285714285714,4.285714285714286
1.05,4,4,4,6.48,6.44,4.06,8.729,3.8095238095238093,3.8095238095238093,3.8095238095238093
0.82,6,5,3,5.9,5.95,3.77,7.975,7.317073170731708,6.097560975609756,3.658536585365854
1.09,3,5,3,6.6,6.69,4.1,8.542,2.7522935779816513,4.587155963302752,2.7522935779816513
0.3,3,2,4,4.35,4.32,2.68,6.657,10.0,6.666666666666667,13.333333333333334
2.01,4,5,2,8.06,8.11,5.04,9.666,1.9900497512437814,2.4875621890547266,0.9950248756218907
1.16,4,4,2,6.72,6.66,4.19,8.511,3.4482758620689657,3.4482758620689657,1.7241379310344829
1.0,6,4,5,6.52,6.54,3.88,8.834,6.0,4.0,5.0
1.12,4,2,2,6.9,6.81,3.99,8.538,3.571428571428571,1.7857142857142856,1.7857142857142856
0.35,3,2,4,4.56,4.53,2.81,6.969,8.571428571428571,5.714285714285714,11.428571428571429
0.31,3,3,8,4.33,4.34,2.7,6.825,9.67741935483871,9.67741935483871,25.806451612903228
0.8,2,1,2,5.94,6.01,3.67,7.841,2.5,1.25,2.5
0.52,6,4,4,5.08,5.11,3.19,7.261,11.538461538461538,7.692307692307692,7.692307692307692
1.52,2,5,3,7.3,7.25,4.63,9.218,1.3157894736842106,3.289473684210526,1.9736842105263157
0.33,3,5,7,4.42,4.44,2.77,6.554,9.09090909090909,15.15151515151515,21.21212121212121
0.36,6,1,3,4.58,4.62,2.82,6.447,16.666666666666668,2.7777777777777777,8.333333333333334
0.56,3,2,5,5.3,5.33,3.28,7.562,5.357142857142857,3.571428571428571,8.928571428571427
1.01,3,1,7,6.45,6.39,3.98,9.32,2.9702970297029703,0.9900990099009901,6.930693069306931
1.07,4,4,2,6.54,6.5,4.04,8.39,3.7383177570093458,3.7383177570093458,1.8691588785046729
0.31,3,5,4,4.34,4.32,2.73,6.443,9.67741935483871,16.129032258064516,12.903225806451614
0.35,4,1,3,4.57,4.52,2.76,6.669,11.428571428571429,2.857142857142857,8.571428571428571
1.25,4,6,4,6.92,6.84,4.28,8.687,3.2,4.8,3.2
0.41,3,1,5,4.77,4.74,2.96,7.05,7.317073170731708,2.4390243902439024,12.195121951219512
1.17,2,7,3,6.66,6.73,4.28,8.307,1.7094017094017095,5.982905982905983,2.5641025641025643
2.25,1,5,1,8.01,7.97,5.41,8.803,0.4444444444444444,2.2222222222222223,0.4444444444444444
1.53,4,3,2,7.28,7.34,4.58,9.151,2.6143790849673203,1.9607843137254901,1.3071895424836601
0.4,3,5,6,4.72,4.77,2.92,6.808,7.5,12.5,15.0
0.77,3,1,2,6.01,5.95,3.63,7.949,3.896103896103896,1.2987012987012987,2.5974025974025974
1.16,4,5,2,6.93,6.84,4.05,8.333,3.4482758620689657,4.310344827586207,1.7241379310344829
0.77,3,3,5,5.88,5.84,3.64,8.128,3.896103896103896,3.896103896103896,6.4935064935064934
0.53,3,2,2,5.22,5.24,3.21,7.181,5.660377358490566,3.773584905660377,3.773584905660377
2.19,4,7,2,8.57,8.53,5.03,9.228,1.8264840182648403,3.1963470319634704,0.9132420091324202
0.42,3,1,4,4.77,4.8,2.97,6.865,7.142857142857143,2.380952380952381,9.523809523809524
0.53,4,3,4,5.26,5.2,3.17,7.736,7.547169811320754,5.660377358490566,7.547169811320754
0.31,3,4,6,4.37,4.4,2.74,6.518,9.67741935483871,12.903225806451614,19.35483870967742
0.7,4,1,2,5.65,5.63,3.5,7.729,5.714285714285714,1.4285714285714286,2.857142857142857
2.04,6,6,4,8.09,8.22,5.1,9.734,2.941176470588235,2.941176470588235,1.9607843137254901
0.9,2,4,6,6.11,6.1,3.88,8.5,2.2222222222222223,4.444444444444445,6.666666666666666
0.7,1,4,1,5.52,5.4,3.73,6.886,1.4285714285714286,5.714285714285714,1.4285714285714286
1.05,4,3,4,6.5,6.47,4.06,8.875,3.8095238095238093,2.857142857142857,3.8095238095238093
2.0,4,2,2,8.15,8.1,4.94,9.71,2.0,1.0,1.0
1.25,4,7,3,6.91,6.82,4.24,8.632,3.2,5.6,2.4
1.02,3,3,2,6.43,6.4,4.0,8.389,2.941176470588235,2.941176470588235,1.9607843137254901
0.77,4,7,4,5.87,5.82,3.63,7.57,5.194805194805195,9.09090909090909,5.194805194805195
0.41,3,1,7,4.8,4.85,2.93,7.22,7.317073170731708,2.4390243902439024,17.073170731707318
1.02,4,5,2,6.54,6.5,3.9,8.363,3.9215686274509802,4.901960784313726,1.9607843137254901
1.62,3,6,4,7.53,7.58,4.69,9.259,1.8518518518518516,3.7037037037037033,2.4691358024691357
0.9,6,5,3,6.14,6.18,3.87,8.142,6.666666666666666,5.555555555555555,3.333333333333333
0.3,4,6,8,4.34,4.32,2.62,6.697,13.333333333333334,20.0,26.666666666666668
1.2,4,2,2,6.84,6.77,4.22,8.622,3.3333333333333335,1.6666666666666667,1.6666666666666667
1.25,3,1,6,6.93,6.97,4.23,9.473,2.4,0.8,4.8
0.42,6,1,6,4.88,4.91,2.91,7.14,14.285714285714286,2.380952380952381,14.285714285714286
1.33,4,4,2,7.16,7.19,4.33,8.79,3.007518796992481,3.007518796992481,1.5037593984962405
1.14,3,1,2,6.69,6.63,4.17,8.518,2.6315789473684212,0.8771929824561404,1.7543859649122808
0.33,3,1,5,4.46,4.43,2.74,6.91,9.09090909090909,3.0303030303030303,15.15151515151515
0.41,3,5,7,4.74,4.78,2.96,6.95,7.317073170731708,12.195121951219512,17.073170731707318
0.33,6,3,4,4.45,4.5,2.74,6.501,18.18181818181818,9.09090909090909,12.121212121212121
1.2,6,4,2,6.73,6.84,4.24,8.566,5.0,3.3333333333333335,1.6666666666666667
0.38,3,1,5,4.67,4.65,2.87,6.974,7.894736842105263,2.6315789473684212,13.157894736842104
0.31,6,4,3,4.39,4.42,2.59,6.136,19.35483870967742,12.903225806451614,9.67741935483871
0.9,2,1,3,6.12,6.24,3.73,8.33,2.2222222222222223,1.1111111111111112,3.333333333333333
0.39,3,1,6,4.67,4.7,2.91,7.003,7.692307692307692,2.564102564102564,15.384615384615383
0.44,2,5,3,4.82,4.85,3.07,6.597,4.545454545454546,11.363636363636363,6.818181818181818
